date,nav,scheme_code,scheme_name,fund_house,scheme_category,scheme_type,isin_growth,isin_div_reinvestment
05-06-2026,100.84100,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
04-06-2026,100.89530,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
03-06-2026,100.88230,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
02-06-2026,101.05210,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
01-06-2026,100.76210,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
31-05-2026,101.62710,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
29-05-2026,101.63060,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
27-05-2026,102.48550,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
26-05-2026,102.36520,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
25-05-2026,102.74940,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
22-05-2026,101.68330,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
21-05-2026,101.05290,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
20-05-2026,100.82050,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
19-05-2026,100.87340,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
18-05-2026,100.77810,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
15-05-2026,100.87020,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
14-05-2026,101.10370,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
13-05-2026,100.30140,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
12-05-2026,99.76900,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
11-05-2026,101.87250,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
08-05-2026,103.27330,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
07-05-2026,103.56750,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
06-05-2026,103.29350,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
05-05-2026,101.75470,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
